Academic Year,InState,International Status,Ethnicity,ChurchAffiliation,ClassLevel,Gender,StudentCount,vegitarian
2017,FALSE,International Student,International Student,Christian Reformed,Junior,Male,2,yes
2017,FALSE,International Student,International Student,Christian Reformed,Senior,Female,5,yes
2017,FALSE,International Student,International Student,Christian Reformed,Senior,Male,5,yes
2017,FALSE,International Student,International Student,Christian Reformed,Sophomore,Female,2,yes
2017,FALSE,International Student,International Student,Christian Reformed,Sophomore,Male,1,yes
2017,FALSE,International Student,International Student,Other,First-year,Female,56,yes
2017,FALSE,International Student,International Student,Other,First-year,Male,68,yes
2017,FALSE,International Student,International Student,Other,Junior,Female,28,yes
2017,FALSE,International Student,International Student,Other,Junior,Male,26,yes
2017,FALSE,International Student,International Student,Other,Senior,Female,45,yes
2017,FALSE,International Student,International Student,Other,Senior,Male,44,yes
2017,FALSE,International Student,International Student,Other,Sophomore,Female,54,yes
2017,FALSE,International Student,International Student,Other,Sophomore,Male,52,yes
2017,TRUE,International Student,International Student,Christian Reformed,Junior,Female,1,yes
2017,TRUE,International Student,International Student,Christian Reformed,Senior,Female,2,yes
2017,TRUE,International Student,International Student,Christian Reformed,Senior,Male,1,yes
2017,TRUE,International Student,International Student,Other,First-year,Female,3,yes
2017,TRUE,International Student,International Student,Other,First-year,Male,3,yes
2017,TRUE,International Student,International Student,Other,Junior,Female,6,yes
2017,TRUE,International Student,International Student,Other,Junior,Male,4,yes
2017,TRUE,International Student,International Student,Other,Senior,Female,14,yes
2017,TRUE,International Student,International Student,Other,Senior,Male,8,yes
2017,TRUE,International Student,International Student,Other,Sophomore,Female,2,yes
2018,FALSE,International Student,International Student,Christian Reformed,First-year,Female,4,yes
2018,FALSE,International Student,International Student,Christian Reformed,First-year,Male,6,yes
2018,FALSE,International Student,International Student,Christian Reformed,Junior,Female,2,yes
2018,FALSE,International Student,International Student,Christian Reformed,Junior,Male,2,yes
2018,FALSE,International Student,International Student,Christian Reformed,Senior,Female,4,yes
2018,FALSE,International Student,International Student,Christian Reformed,Senior,Male,2,yes
2018,FALSE,International Student,International Student,Christian Reformed,Sophomore,Female,4,yes
2018,FALSE,International Student,International Student,Christian Reformed,Sophomore,Male,3,yes
2018,FALSE,International Student,International Student,Other,First-year,Female,51,yes
2018,FALSE,International Student,International Student,Other,First-year,Male,54,yes
2018,FALSE,International Student,International Student,Other,Junior,Female,52,yes
2018,FALSE,International Student,International Student,Other,Junior,Male,49,yes
2018,FALSE,International Student,International Student,Other,Senior,Female,34,yes
2018,FALSE,International Student,International Student,Other,Senior,Male,38,yes
2018,FALSE,International Student,International Student,Other,Sophomore,Female,52,yes
2018,FALSE,International Student,International Student,Other,Sophomore,Male,50,yes
2018,TRUE,International Student,International Student,Christian Reformed,Senior,Female,1,yes
2018,TRUE,International Student,International Student,Other,First-year,Female,3,yes
2018,TRUE,International Student,International Student,Other,First-year,Male,5,yes
2018,TRUE,International Student,International Student,Other,Junior,Female,2,yes
2018,TRUE,International Student,International Student,Other,Senior,Female,10,yes
2018,TRUE,International Student,International Student,Other,Senior,Male,6,yes
2018,TRUE,International Student,International Student,Other,Sophomore,Female,4,yes
2018,TRUE,International Student,International Student,Other,Sophomore,Male,4,yes
2019,FALSE,International Student,International Student,Christian Reformed,First-year,Female,1,yes
2019,FALSE,International Student,International Student,Christian Reformed,First-year,Male,2,yes
2019,FALSE,International Student,International Student,Christian Reformed,Junior,Female,2,yes
2019,FALSE,International Student,International Student,Christian Reformed,Junior,Male,2,yes
2019,FALSE,International Student,International Student,Christian Reformed,Senior,Female,3,yes
2019,FALSE,International Student,International Student,Christian Reformed,Senior,Male,4,yes
2019,FALSE,International Student,International Student,Christian Reformed,Sophomore,Female,4,yes
2019,FALSE,International Student,International Student,Christian Reformed,Sophomore,Male,5,yes
2019,FALSE,International Student,International Student,Other,First-year,Female,35,yes
2019,FALSE,International Student,International Student,Other,First-year,Male,51,yes
2019,FALSE,International Student,International Student,Other,Junior,Female,56,yes
2019,FALSE,International Student,International Student,Other,Junior,Male,48,yes
2019,FALSE,International Student,International Student,Other,Senior,Female,51,yes
2019,FALSE,International Student,International Student,Other,Senior,Male,54,yes
2019,FALSE,International Student,International Student,Other,Sophomore,Female,46,yes
2019,FALSE,International Student,International Student,Other,Sophomore,Male,47,yes
2019,TRUE,International Student,International Student,Christian Reformed,First-year,Male,1,yes
2019,TRUE,International Student,International Student,Other,First-year,Female,4,yes
2019,TRUE,International Student,International Student,Other,First-year,Male,1,yes
2019,TRUE,International Student,International Student,Other,Junior,Female,4,yes
2019,TRUE,International Student,International Student,Other,Junior,Male,3,yes
2019,TRUE,International Student,International Student,Other,Senior,Female,3,yes
2019,TRUE,International Student,International Student,Other,Senior,Male,1,yes
2019,TRUE,International Student,International Student,Other,Sophomore,Female,2,yes
2019,TRUE,International Student,International Student,Other,Sophomore,Male,3,yes
2007,FALSE,Not internation student,AHANA,Christian Reformed,First-year,Female,5,yes
2007,FALSE,Not internation student,AHANA,Christian Reformed,First-year,Male,9,yes
2007,FALSE,Not internation student,AHANA,Christian Reformed,Junior,Female,7,yes
2007,FALSE,Not internation student,AHANA,Christian Reformed,Junior,Male,2,yes
2007,FALSE,Not internation student,AHANA,Christian Reformed,Senior,Female,5,yes
2007,FALSE,Not internation student,AHANA,Christian Reformed,Senior,Male,10,yes
2007,FALSE,Not internation student,AHANA,Christian Reformed,Sophomore,Female,8,yes
2007,FALSE,Not internation student,AHANA,Christian Reformed,Sophomore,Male,3,yes
2007,FALSE,Not internation student,AHANA,Other,First-year,Female,19,yes
2007,FALSE,Not internation student,AHANA,Other,First-year,Male,17,yes
2007,FALSE,Not internation student,AHANA,Other,Junior,Female,12,yes
2007,FALSE,Not internation student,AHANA,Other,Junior,Male,4,yes
2007,FALSE,Not internation student,AHANA,Other,Senior,Female,22,yes
2007,FALSE,Not internation student,AHANA,Other,Senior,Male,12,yes
2007,FALSE,Not internation student,AHANA,Other,Sophomore,Female,13,yes
2007,FALSE,Not internation student,AHANA,Other,Sophomore,Male,11,yes
